case_no,date_opened,subtype,date_closed,assigned_to,site_address,parcel_no,owner,resident,status,violation_description
RENT1803-003,2018-03-01,VIOLATIONS,2018-03-07,ADAM KNIGHT,36 PLEASANT ST,020600001483000,,,CLOSED,"(3/7/2018 2:08 PM ak)
Mary looked at issues. All Abated."
RENT1803-003,2018-03-01,VIOLATIONS,2018-03-07,ADAM KNIGHT,36 PLEASANT ST,020600001483000,,,CLOSED,"(3/7/2018 2:08 PM ak)
Mary looked at issues. All Abated."
RENT1803-002,2018-03-01,VIOLATIONS,2018-06-18,ADAM KNIGHT,31 ROSEMARY ST,020600006465200,,,CLOSED,Rental Inspection
RENT1803-001,2018-03-01,VIOLATIONS,2018-04-09,ADAM KNIGHT,22 HERITAGE CT,020636090028560,,,CLOSED,Rental Inspection
RENT1803-007,2018-03-06,VIOLATIONS,2018-06-06,MARY EMRICK,300 WOODLAWN AVE,020600090031388,,,CLOSED,MULTIPLE UNTAGGED CARS ON PROPERTY
RENT1802-045,2018-02-28,VIOLATIONS,2018-04-09,ADAM KNIGHT,3-A HERITAGE CT,020636090028589,,,CLOSED,Rental Inspection
RENT1803-008,2018-03-06,VIOLATIONS,2018-04-24,JEANNETTE ROEDER,2 THORN CT**,020669504341600,,,CLOSED,BATHROOM GFCI OUTLET
RENT1802-043,2018-02-28,VIOLATIONS,2018-04-09,ADAM KNIGHT,674 GREENBRIAR LN,020628701697059,,,CLOSED,Rental Inspection
RENT1802-042,2018-02-28,VIOLATIONS,2018-05-08,ADAM KNIGHT,628 BAY RIDGE AVE,020600004855220,,,CLOSED,Rental Inspection
RENT1802-041,2018-02-28,VIOLATIONS,2018-04-18,ADAM KNIGHT,126 MERRYMAN CT,020636090028505,,,CLOSED,Rental Inspection
RENT1802-040,2018-02-28,VIOLATIONS,2018-04-09,ADAM KNIGHT,77 HERITAGE CT,020636090028515,,,CLOSED,Rental Inspection
RENT1802-039,2018-02-28,VIOLATIONS,2018-04-09,ADAM KNIGHT,67 HERITAGE CT,020636090028574,,,CLOSED,Rental Inspection
RENT1805-028,2018-05-11,VIOLATIONS,2018-07-27,MARY EMRICK,143 MERRYMAN CT,020636090028496,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1802-046,2018-02-28,VIOLATIONS,2018-04-18,ADAM KNIGHT,26 HERITAGE CT,020636090028558,,,CLOSED,Rental Inspection
RENT1803-015,2018-03-09,VIOLATIONS,2018-04-09,ADAM KNIGHT,38 JULIANA CIR E,020670290099179,,,CLOSED,Rental Inspection
RENT1804-018,2018-04-06,VIOLATIONS,2018-08-13,MARY EMRICK,28 MARKET SPACE**,020600005026000,,,CLOSED,MULTIPLE VIOLATIONS
RENT1803-021,2018-03-09,VIOLATIONS,2018-07-17,ADAM KNIGHT,53 JULIANA CIR E,020670290099194,,,CLOSED,Rental Inspection
RENT1803-020,2018-03-09,VIOLATIONS,2018-07-17,ADAM KNIGHT,52 JULIANA CIR E,020670290099193,,,CLOSED,Rental Inspection
RENT1803-019,2018-03-09,VIOLATIONS,2018-04-09,ADAM KNIGHT,51 JULIANA CIR E,020670290099192,,,CLOSED,Rental Inspection
RENT1803-018,2018-03-09,VIOLATIONS,2018-04-09,ADAM KNIGHT,43 JULIANA CIR E,020670290099184,,,CLOSED,Rental Inspection
RENT1803-006,2018-03-05,VIOLATIONS,2018-12-20,ADAM KNIGHT,35 BUNCHE ST**,020600003868200,,,CLOSED,Rental Inspection
RENT1803-016,2018-03-09,VIOLATIONS,2018-04-19,JEANNETTE ROEDER,5 FAIRHOPE COURT,020601990026749,,,CLOSED,"COVERPLATES, CO2 DETECTORS"
RENT1803-024,2018-03-09,VIOLATIONS,2018-04-09,ADAM KNIGHT,59 JULIANA CIR E,020670290099200,,,CLOSED,Rental Inspection
RENT1803-014,2018-03-09,VIOLATIONS,2018-04-09,ADAM KNIGHT,34 JULIANA CIR E,020670290099175,,,CLOSED,Rental Inspection
RENT1803-013,2018-03-09,VIOLATIONS,2018-04-12,MARY EMRICK,32 HICKS AVE,020600003297000,,,CLOSED,UNTAGGED VEHICLES/TRASH AND DEBRIS
RENT1803-012,2018-03-09,VIOLATIONS,2018-04-09,ADAM KNIGHT,33 JULIANA CIR E,020670290099174,,,CLOSED,Rental Inspection
RENT1803-011,2018-03-08,VIOLATIONS,,,5 FAIRHOPE COURT,,,,,
RENT1803-010,2018-03-08,VIOLATIONS,2018-04-17,MARY EMRICK,34 PLEASANT ST**,020600006413450,,,CLOSED,MULTIPLE VIOLATIONS
RENT1803-009,2018-03-07,VIOLATIONS,2018-08-30,MARY EMRICK,20 DORSEY AVE,020600006374200,,,CLOSED,POSSIBLE ILLEGAL RENTAL UNIT
RENT1803-017,2018-03-09,VIOLATIONS,2018-04-09,ADAM KNIGHT,41 JULIANA CIR E,020670290099182,,,CLOSED,Rental Inspection
RENT1805-003,2018-05-02,VIOLATIONS,2018-07-23,MARY EMRICK,12 BATES ST,020600090048424,,,CLOSED,KEY LOCKS ON BEDROOM DOORS/BATH VENT FAN/WINOW
RENT1805-010,2018-05-07,VIOLATIONS,2018-06-06,MARY EMRICK,2145 BAY RIDGE AVENUE,020600090037930,,,CLOSED,OVERGROWTH
RENT1805-009,2018-05-07,VIOLATIONS,2018-06-05,MARY EMRICK,31 MURRAY AVE**,020600090094821,,,CLOSED,KEY LOCKS ON DOORS - HOARDING
RENT1805-007,2018-05-04,VIOLATIONS,2018-12-20,ADAM KNIGHT,525 ANNAPOLITAN LANE,020602590089943,,,CLOSED,Rental Inspection
RENT1805-006,2018-05-04,VIOLATIONS,2018-07-17,ADAM KNIGHT,10 HERITAGE CT**,020636090028546,,,CLOSED,Rental Inspection
RENT1804-016,2018-04-06,VIOLATIONS,2018-05-02,MARY EMRICK,122 DUKE OF GLOUCESTER ST**,020600090035407,,,CLOSED,CO DETECTORS ON EVERY LEVEL
RENT1805-004,2018-05-03,VIOLATIONS,2018-07-17,ADAM KNIGHT,521 ANNAPOLITAN LANE,020602590089945,,,CLOSED,Rental Inspection
RENT1805-013,2018-05-08,VIOLATIONS,2018-05-31,MARY EMRICK,710 ROSEDALE ST A,020619090035406,,,CLOSED,10 YEAR SMOKE DETECTOR
RENT1805-002,2018-05-02,VIOLATIONS,2018-05-07,MARY EMRICK,154 PRINCE GEORGE ST,020600006739960,,,CLOSED,CO DETECTORS ON 3 LEVELS
RENT1805-001,2018-05-02,VIOLATIONS,2018-05-15,MARY EMRICK,19 SHAW ST**,020600000120200,,,CLOSED,CO DETECTORS ON ALL 3 LEVELS
RENT1804-056,2018-04-27,VIOLATIONS,2018-07-02,MARY EMRICK,1914 VINCENT ST,020655101370600,,,CLOSED,UNTAGGED VEHICLES
RENT1804-055,2018-04-27,VIOLATIONS,,JEANNETTE ROEDER,435 MERRYMAN ROAD**,,,,,"SMOKE DETECTORS, OVERCROWDING"
RENT1804-055,2018-04-27,VIOLATIONS,,JEANNETTE ROEDER,435 MERRYMAN ROAD**,,,,,"SMOKE DETECTORS, OVERCROWDING"
RENT1804-054,2018-04-27,VIOLATIONS,2018-06-11,MARY EMRICK,14 MONTICELLO AVE**,020600002409105,,,CLOSED,CO & 10 YR SMOKE DETECTORS
RENT1804-053,2018-04-27,VIOLATIONS,2018-06-11,MARY EMRICK,3 BROOKE AVE,020600002409106,,,CLOSED,CO DETECTORS ON EACH LEVEL - ELECTRIC PLUG IN
RENT1805-005,2018-05-03,VIOLATIONS,2018-10-22,ADAM KNIGHT,114 BRIGHTWATER DR,020602590089957,,,CLOSED,Rental Inspection
RENT1805-019,2018-05-10,VIOLATIONS,2018-06-21,MARY EMRICK,189 GREEN ST**,020600003628050,,,CLOSED,SMOKE DETECTOR AND PORCH AREA
RENT1809-057,2018-09-28,VIOLATIONS,2019-02-01,MARY EMRICK,6 BATES STREET,020600090048427,,,CLOSED,SMOKE AND CO DETECTORS
RENT1805-026,2018-05-11,VIOLATIONS,2018-09-28,MARY EMRICK,131 MERRYMAN CT,020636090028490,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1805-025,2018-05-11,VIOLATIONS,2018-06-28,MARY EMRICK,121 MERRYMAN CT,020636090028485,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1805-024,2018-05-11,VIOLATIONS,2018-05-24,MARY EMRICK,116 MERRYMAN CT,020636090028510,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1805-023,2018-05-11,VIOLATIONS,2018-05-29,MARY EMRICK,111 MERRYMAN CT,020636090028480,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1805-022,2018-05-11,VIOLATIONS,2018-05-22,MARY EMRICK,105 MERRYMAN CT,020636090028477,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1805-011,2018-05-07,VIOLATIONS,2018-07-02,MARY EMRICK,35 CATHEDRAL ST**,020600000071100,,,CLOSED,MULTIPLE VIOLATIONS
RENT1805-020,2018-05-10,VIOLATIONS,2018-09-24,MARY EMRICK,164 GREEN STREET**,020600001247400,,,CLOSED,DECK BOARDS AND RAILINGS & 1ST FLOOR UNIT WALL
RENT1805-012,2018-05-08,FAILURE TO OBTAIN,2018-06-29,MARY EMRICK,692 GENESSEE ST,020698690035240,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1805-018,2018-05-09,VIOLATIONS,2018-07-03,ADAM KNIGHT,1014 WELLS AVE,020600090019505,,,CLOSED,Rental Inspection
RENT1805-017,2018-05-09,VIOLATIONS,2018-06-22,MARY EMRICK,3 MURRAY AVE**,020600005699125,,,CLOSED,CO & 10 YEAR SMOKE DETECTORS
RENT1805-016,2018-05-09,VIOLATIONS,2018-06-04,MARY EMRICK,608 MONTEREY AVE**,020600009083895,,,CLOSED,CO DETECTORS
RENT1805-015,2018-05-09,,2018-06-21,MARY EMRICK,127 MARKET ST**,020600007415800,,,CLOSED,CO DETECTORS
RENT1805-014,2018-05-09,VIOLATIONS,2018-06-22,MARY EMRICK,259 HANOVER ST**,020600090034569,,,CLOSED,CO DETECTORS & 10 YEAR SMOKE DETECTORS NEEDED
RENT1804-050,2018-04-25,VIOLATIONS,2019-07-19,MARY EMRICK,23 RANDALL ST**,020600004800905,,,CLOSED,"SMOKE DETECTORS, CO2 DETECTORS"
RENT1805-021,2018-05-11,VIOLATIONS,2018-06-11,MARY EMRICK,103 MERRYMAN CT,020636090028476,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1804-025,2018-04-16,VIOLATIONS,2018-05-08,JEANNETTE ROEDER,60-E SANDSTONE CT,020601890087123,,,CLOSED,"SMOKE ALARMS, CARBON MONOXIDE"
RENT1804-052,2018-04-26,VIOLATIONS,2018-05-31,MARY EMRICK,217 CHESAPEAKE AVE**,020600006746308,,,CLOSED,FAILURE TO RENEW RENTAL LICENSE
RENT1804-032,2018-04-17,VIOLATIONS,2018-04-24,MARY EMRICK,139 KING GEORGE ST,020600004289400,,,CLOSED,CO DETECTOR IN UNIT
RENT1804-031,2018-04-17,VIOLATIONS,2018-05-25,MARY EMRICK,29 CITY GATE LN,020610690029976,,,CLOSED,BASEMENT - PROVIDE CO DETECTOR ELECTRIC
RENT1804-030,2018-04-17,VIOLATIONS,2019-01-22,MARY EMRICK,24 CITY GATE LN,020610690029956,,,CLOSED,SMOKE DETECTORS & CO DETECTORS
RENT1804-029,2018-04-17,VIOLATIONS,2018-08-23,MARY EMRICK,208 CENTER ST,020600090222043,,"B & J BUILDINGS LLC,",CLOSED,TRASH AND DEBRIS
RENT1804-028,2018-04-17,VIOLATIONS,2018-06-06,MARY EMRICK,202 CENTER ST,020600090222040,,,CLOSED,UNTAGGED CADILLAC & TRASH AND DEBRIS
RENT1804-034,2018-04-18,VIOLATIONS,2018-05-31,MARY EMRICK,89 EAST STREET,020600002859100,,,CLOSED,CO DETECTORS & OVERCROWDING
RENT1804-035,2018-04-18,VIOLATIONS,2018-12-20,ADAM KNIGHT,405 BAY WATER LANE,020602590089888,,,CLOSED,Rental Inspection
RENT1804-024,2018-04-16,VIOLATIONS,2019-03-21,JEANNETTE ROEDER,8 VICTOR PARKWAY**,020695508338415,,,CLOSED,"SMOKE DETECTORS, CARBON MOMOXIDE"
RENT1804-023,2018-04-12,VIOLATIONS,2018-07-03,MARY EMRICK,148 DUKE OF GLOUCESTER ST**,020600002741403,,,CLOSED,EXTERIOR STAIRS & PAINTING
RENT1804-022,2018-04-12,VIOLATIONS,2018-04-27,MARY EMRICK,41 CITY GATE LN,020610690029970,,,CLOSED,SMOKE DETECTORS & CO DETECTORS
RENT1804-021,2018-04-12,VIOLATIONS,2018-07-09,MARY EMRICK,ADMIRAL FARRAGUT APARTMENTS,,,,CLOSED,MULTIPLE VIOLATIONS - APTS
RENT1804-020,2018-04-06,VIOLATIONS,2018-05-22,MARY EMRICK,1/2 S ACTON PL **,020600007121800,,,CLOSED,CO DETECTOR/KEY LOCK ON BEDROOM DOOR
RENT1804-019,2018-04-06,VIOLATIONS,2018-07-09,MARY EMRICK,8 CORNHILL ST**,020600090038970,,,CLOSED,HOLE IN SOFFIT
RENT1804-027,2018-04-17,VIOLATIONS,2018-06-25,MARY EMRICK,204 CENTER ST,020600090222041,,,CLOSED,TRASH & DEBRIS
RENT1804-042,2018-04-19,VIOLATIONS,2018-04-20,MARY EMRICK,55 PINKNEY ST**,020600005196810,,,CLOSED,10 YR SMOKES & CO DETECTORS
RENT1802-036,2018-02-28,VIOLATIONS,2018-04-09,,18 HERITAGE CT,020636090028562,,,CLOSED,Rental INspection
RENT1804-049,2018-04-24,VIOLATIONS,2018-06-29,MARY EMRICK,2 GERMAN ST**,020600003259300,,,CLOSED,TEN YEAR SMOKES & CO DETECTORS
RENT1804-048,2018-04-23,VIOLATIONS,2019-12-20,MARY EMRICK,15 SOLOMONS ISLAND RD,020600000951600,,,CLOSED,ILLEGAL RENTAL UNITS
RENT1804-047,2018-04-23,VIOLATIONS,2018-06-11,MARY EMRICK,20 SOUTHGATE AVE**,020600008845500,,,CLOSED,GRILL ON BALCONY
RENT1804-046,2018-04-20,VIOLATIONS,2018-08-15,ADAM KNIGHT,215 TAYLOR AVE**,020600090035120,,,CLOSED,Rental Inspection
RENT1804-045,2018-04-20,VIOLATIONS,2018-07-03,ADAM KNIGHT,306 RIVERVIEW AVE**,020600002103303,,,CLOSED,Rental Inspection
RENT1804-033,2018-04-18,VIOLATIONS,2018-05-07,MARY EMRICK,31 EAST ST**,020600003414100,,,CLOSED,CO DETECTORS ON EVERY LEVEL
RENT1804-043,2018-04-19,VIOLATIONS,2018-05-31,MARY EMRICK,37 MARYLAND AVE**,020600001493800,,,CLOSED,SMOKE DETECTORS & CO DETECTORS
RENT1804-051,2018-04-26,VIOLATIONS,2018-07-27,ADAM KNIGHT,9 MONUMENT ST**,020600007806100,,,CLOSED,Rental Inspection
RENT1804-041,2018-04-19,VIOLATIONS,2018-10-19,MARY EMRICK,25 STATE CIRCLE (INN),020600001121350,,,CLOSED,EXTERIOR SOFFIT AREA ON FRONT OF BUILDING
RENT1804-040,2018-04-19,VIOLATIONS,2018-05-31,MARY EMRICK,203 MAIN ST**,020600006039613,,,CLOSED,COMBO SMOKE & CO DETECTORS
RENT1804-039,2018-04-19,VIOLATIONS,2018-05-31,MARY EMRICK,97 CATHEDRAL ST**,020600003864005,,,CLOSED,MULTIPLE VIOLATIONS
RENT1804-038,2018-04-18,VIOLATIONS,2018-12-26,ADAM KNIGHT,110 DEWEY DR**,020601001890800,,,CLOSED,Rental Inspection
RENT1804-037,2018-04-18,VIOLATIONS,2018-11-05,ADAM KNIGHT,235 FARRAGUT RD**,020601002856825,,,CLOSED,Rental Inspection
RENT1804-036,2018-04-18,VIOLATIONS,2018-12-20,ADAM KNIGHT,118 BRIGHTWATER DR,020602590089959,,,CLOSED,Rental Inspection
RENT1804-044,2018-04-19,VIOLATIONS,2018-05-29,MARY EMRICK,55 PINKNEY ST**,020600005196810,,,CLOSED,ELECTRIC SMOKE AND CO DETECTORS
RENT1712-004,2017-12-04,VIOLATIONS,2018-01-16,ADAM KNIGHT,28 BUNCHE ST**,020600008309100,,,CLOSED,Rental Inspection
RENT1712-011,2017-12-11,VIOLATIONS,2018-12-20,ADAM KNIGHT,680 FAIRVIEW AVE,020680590027010,,,CLOSED,Rental Inspection
RENT1712-010,2017-12-11,VIOLATIONS,2018-01-12,MARY EMRICK,53 TOWN PINES CT,020654903864209,,CINDY ANN PARKER,CLOSED,UNTAGGED CAR
RENT1712-009,2017-12-08,VIOLATIONS,2018-04-13,MARY EMRICK,WATERGATE VILLAGE,,,,CLOSED,MULTIPLE VIOLATIONS
RENT1712-008,2017-12-08,VIOLATIONS,2018-01-25,MARY EMRICK,13 LANDINGS COURT,020681790039991,,,CLOSED,SMOKE DETECTORS
RENT1712-007,2017-12-05,VIOLATIONS,2017-12-27,MARY EMRICK,51 CLAY ST,020654903864214,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1712-029,2017-12-21,VIOLATIONS,2018-01-30,MARY EMRICK,36 PLEASANT ST,020600001483000,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1712-005,2017-12-04,VIOLATIONS,2018-01-05,JEANNETTE ROEDER,11 ASHFORD COURT,020640590068833,,,CLOSED,"CEILING, WALLS DEFECTIVE"
RENT1712-014,2017-12-12,VIOLATIONS,2018-01-23,MARY EMRICK,421 HARWOOD PL,020619090035361,,,CLOSED,MULTIPLE VIOLATIONS
RENT1712-003,2017-12-04,VIOLATIONS,2018-03-05,ADAM KNIGHT,906 SPA ROAD**,020600008587600,,,CLOSED,Rental Inspection
RENT1712-002,2017-12-04,VIOLATIONS,2018-01-05,ADAM KNIGHT,121 WOODLAWN AVENUE,020600008642200,,,CLOSED,Rental Inspection
RENT1712-001,2017-12-04,VIOLATIONS,2018-01-05,ADAM KNIGHT,176-D MAIN STREET**,020600007067200,,,CLOSED,Rental Inspection
RENT1711-029,2017-11-29,VIOLATIONS,2018-02-06,MARY EMRICK,201 S CHERRY GROVE AVE**,020600001814400,,,CLOSED,"TRASH AND DEBRIS, UNTAGGED CAR COVERED"
RENT1711-028,2017-11-22,VIOLATIONS,2018-03-05,ADAM KNIGHT,1788-B BELLE DR**,020628705731900,,,CLOSED,Rental Inspection
RENT1712-006,2017-12-04,VIOLATIONS,2017-12-20,ADAM KNIGHT,3 STEFFEN POINT RD,020601090210078,,,CLOSED,Rental Inspection
RENT1712-020,2017-12-13,VIOLATIONS,2018-03-20,MARY EMRICK,15 NEWMAN ST #2,020600090234459,,,CLOSED,WINDOWS
RENT1802-038,2018-02-28,VIOLATIONS,2018-04-09,ADAM KNIGHT,43 HERITAGE CT,020636090028586,,,CLOSED,Rental Inspection
RENT1712-027,2017-12-20,VIOLATIONS,2018-10-17,MARY EMRICK,39 JEFFERSON PL**,020600003080000,,,CLOSED,FAILURE TO RENEW RENTAL LICENSE
RENT1712-026,2017-12-20,VIOLATIONS,2018-04-18,MARY EMRICK,757 WARREN DR**,020628004440500,,,CLOSED,FAILURE TO RENEW RENTAL OPERATING LICENSE
RENT1712-025,2017-12-20,VIOLATIONS,2018-03-05,ADAM KNIGHT,10 HICKS AVE**,020600005791809,,,CLOSED,Rental Inspection
RENT1712-024,2017-12-19,VIOLATIONS,2018-01-23,MARY EMRICK,9 SOUTHGATE AVE,020600000012600,,,CLOSED,"ILLEGAL KITCHEN, SMOKE DETECTORS, EXTERIOR PAINTING"
RENT1712-023,2017-12-19,VIOLATIONS,2018-02-06,MARY EMRICK,106 CYPRESS RD,020695505869500,,,CLOSED,ILLEGAL RENTAL UNIT AND UNTAGGED CARS
RENT1712-012,2017-12-12,VIOLATIONS,2018-02-22,MARY EMRICK,165 KING GEORGE ST,020600004399350,,,CLOSED,SMOKE DETECTORS
RENT1712-021,2017-12-15,VIOLATIONS,2018-01-09,JEANNETTE ROEDER,8 EDELMAR DR**,020684002765300,,,CLOSED,"HOLES IN WALL, FLOOR MISSING"
RENT1712-013,2017-12-12,VIOLATIONS,2018-01-23,MARY EMRICK,423 HARWOOD PL,020619090035362,,,CLOSED,MULTIPLE VIOLATIONS
RENT1712-019,2017-12-13,VIOLATIONS,2018-02-22,MARY EMRICK,7 SPA CREEK LANDING A3,020680990045387,,,CLOSED,UNSAFE CONDITIONS/DECK BOARDS ROTTEN
RENT1712-018,2017-12-13,VIOLATIONS,2018-10-22,ADAM KNIGHT,220 ADMIRAL DR**,020600004183500,,,CLOSED,Rental Inspection
RENT1712-017,2017-12-13,VIOLATIONS,2018-01-16,ADAM KNIGHT,1954 FOREST DR,020678905105860,,,CLOSED,Rental Inspection
RENT1712-016,2017-12-13,VIOLATIONS,2018-02-23,MARY EMRICK,130 CONDUIT STREET**,020600008637250,,,CLOSED,MOLD
RENT1712-015,2017-12-13,VIOLATIONS,2018-04-17,MARY EMRICK,21 PINKNEY ST,020600090009668,,,CLOSED,"EXTERIOR ROTTEN WOOD, CHIPPING PAINT, NO ENTRY"
RENT1711-024,2017-11-15,VIOLATIONS,2018-01-05,JEANNETTE ROEDER,1210 PRESIDENT ST**,020611208984300,,,CLOSED,220V/240V OUTLET
RENT1712-022,2017-12-15,VIOLATIONS,2018-05-03,JEANNETTE ROEDER,17 CATHEDRAL ST**,020600003628015,,,CLOSED,"DRYER VENT, DOORS"
RENT1710-037,2017-10-31,VIOLATIONS,2017-11-30,ADAM KNIGHT,15 NEWMAN ST UNITS 1 &B,020600090234459,,,CLOSED,Rental Inspection
